"source","target","pathway_name","prob","pval"
"C3","C8","EPHA",0.0439631483715465,0.005
"C3","C8","EPHB",0.0224550085357551,0
"C3","C8","ESAM",0.0961180160860654,0
"C3","C8","FGF",0.00120726071964386,0.005
"C3","C8","FN1",0.0100547326173239,0
"C3","C8","IGF",0.000149844407026173,0
"C3","C8","JAM",0.0385729230062972,0
"C3","C8","LAMININ",0.0811564291345661,0.00769230769230769
"C3","C8","MK",0.00379618821788833,0
"C3","C8","NOTCH",0.0039487113521294,0
"C3","C8","NPR1",0.0108225339952232,0.01
"C3","C8","PECAM1",0.112213705872428,0
"C3","C8","PTPRM",0.0192118164472788,0
"C3","C8","SEMA3",0.000367275795696987,0.0125
"C3","C8","SEMA5",1.09539218327065e-06,0.04
"C3","C8","SEMA6",0.000482768819676929,0.015
"C3","C8","TGFb",0.002405801446118,0
"C3","C8","THBS",0.0294352052886377,0
"C3","C8","TRAIL",0.00719522346799117,0
"C3","C8","TWEAK",0.00208836032845113,0
"C3","C8","VCAM",0.00542167101269241,0
"C3","C8","VEGF",0.0123951086891552,0.00857142857142857
"C3","C8","VISFATIN",0.000954049532130833,0
"C3","C8","ncWNT",2.3164897249476e-06,0.02
"C4","C2","ANGPTL",0.000453832888053092,0
"C4","C2","BMP",0.000469644884682747,0.014
"C4","C2","COLLAGEN",0.0904235467216245,0.00473684210526316
"C4","C2","FN1",0.0084188878154337,0
"C4","C2","GRN",0.00315248695436264,0.02
"C4","C2","ITGB2",0.000476463733554912,0.005
"C4","C2","LAMININ",0.0640349320586596,0.00315789473684211
"C4","C2","MK",0.0023346904404772,0.02
"C4","C2","NEGR",3.76460607414963e-05,0
"C4","C2","PDGF",0.000380611029158303,0
"C4","C2","PTN",0.00619949782535576,0
"C4","C2","SEMA3",0.000972677486696446,0
"C4","C2","TENASCIN",5.73023638278359e-05,0
"C4","C2","THBS",0.0880121868978284,0.00333333333333333
"C4","C2","VEGF",0.0115587078300479,0
"C4","C3","ACTIVIN",1.77783517277531e-05,0
"C4","C3","ANGPT",0.000411986118942276,0.02
"C4","C3","ANGPTL",0.00274519071914908,0
"C4","C3","APP",0.0673926302587928,0
"C4","C3","BMP",9.64348839531528e-05,0.00666666666666667
"C4","C3","CALCR",0.0013492270895549,0
"C4","C3","CD39",1.09109048132226e-05,0
"C4","C3","CD46",0.0070120311985113,0
"C4","C3","CDH5",0.019259102517815,0
"C4","C3","COLLAGEN",0.286284162918612,0.000232558139534884
"C4","C3","CXCL",0.000427454390245198,0.02
"C4","C3","EPHA",0.00488193945913857,0.005
"C4","C3","EPHB",0.00289371637991066,0
"C4","C3","ESAM",0.0441044299721641,0
"C4","C3","FGF",1.3065274040223e-05,0
"C4","C3","FN1",0.0324048303767712,0.0025
"C4","C3","GAS",0.00387272601753234,0
"C4","C3","GRN",0.0063506027037269,0
"C4","C3","HGF",1.0888045883176e-06,0.01
"C4","C3","HSPG",0.00050585773745907,0
"C4","C3","IGF",0.000130222543952581,0
"C4","C3","ITGB2",0.00280341539718788,0
"C4","C3","JAM",0.00702801905464726,0.00142857142857143
"C4","C3","LAMININ",0.26264881814794,0.00282608695652174
"C4","C3","MK",0.00664599215377175,0.015
"C4","C3","MPZ",0.000667080238112926,0
"C4","C3","NOTCH",0.00721650790172521,0.005
"C4","C3","NPR1",0.00712520148137613,0
"C4","C3","PDGF",0.000878869308989472,0
"C4","C3","PECAM1",0.037180137984815,0
"C4","C3","PERIOSTIN",0.000621575753253326,0
"C4","C3","PROS",0.00132092490125909,0
"C4","C3","PTN",0.00965384472492176,0
"C4","C3","PTPRM",0.00480279258603258,0
"C4","C3","SEMA3",0.00233050854094434,0.00142857142857143
"C4","C3","TENASCIN",0.0001766169217688,0
"C4","C3","TGFb",0.00082577594127144,0.00666666666666667
"C4","C3","THBS",0.184639315060131,0
"C4","C3","THY1",7.08305926161121e-06,0
"C4","C3","TRAIL",0.00119256968201036,0
"C4","C3","VEGF",0.0418117733242625,0
"C4","C3","VISFATIN",0.00358207323438609,0
"C4","C3","VWF",0.00129377762467042,0.03
"C4","C4","ACTIVIN",8.24070496944394e-06,0.005
"C4","C4","ANGPTL",0.00162770963413636,0
"C4","C4","APP",0.0589743035431874,0
"C4","C4","CALCR",0.000717353461750559,0.01
"C4","C4","CHEMERIN",0.000411645477662701,0
"C4","C4","COLLAGEN",0.191022333257003,0
"C4","C4","COMPLEMENT",0.000233425737993879,0
"C4","C4","CSF",7.39942818207246e-05,0
"C4","C4","CXCL",0.009267043287391,0
"C4","C4","EPHA",0.000941674825440053,0
"C4","C4","FN1",0.0295011165393691,0
"C4","C4","GALECTIN",0.000139699168151195,0.01
"C4","C4","GAS",0.00518829442128798,0
"C4","C4","GRN",0.00339227722451793,0.02
"C4","C4","HSPG",0.000443832109013015,0.03
"C4","C4","ICAM",1.76341641766614e-05,0
"C4","C4","IL16",0.000154404747722523,0
"C4","C4","ITGB2",0.00101472431115269,0.005
"C4","C4","LAMININ",0.145369162952904,0.00428571428571429
"C4","C4","MHC-II",0.0346373902823138,0
"C4","C4","MK",0.00980087632400087,0.0025
"C4","C4","MPZ",0.000692756864453462,0
"C4","C4","NEGR",0.000502071640326432,0
"C4","C4","NOTCH",0.000830213374052082,0.0025
"C4","C4","PDGF",0.00183323995714266,0
"C4","C4","PERIOSTIN",0.000819114034557572,0
"C4","C4","PROS",0.00189564682673184,0
