dataset,ndufb7_expression
GSE168742_human_HF_CM,49.9264
GSE168742_human_HF_CM,0
GSE168742_human_HF_CM,0
GSE168742_human_HF_CM,175.862
GSE168742_human_HF_CM,0
GSE168742_human_HF_CM,0
GSE168742_human_HF_CM,280.3
GSE168742_human_HF_CM,216.851
GSE168742_human_HF_CM,461.624
GSE168742_human_HF_CM,332.961
GSE168742_human_HF_CM,335.223
GSE168742_human_HF_CM,263.643
GSE168742_human_HF_CM,183.038
GSE168742_human_HF_CM,195.064
GSE168742_human_HF_CM,167.645
GSE168742_human_HF_CM,48.5834
GSE168742_human_HF_CM,89.7672
GSE168742_human_HF_CM,297.859
GSE168742_human_HF_CM,361.386
GSE168742_human_HF_CM,136.092
GSE168742_human_HF_CM,0
GSE168742_human_HF_CM,166.164
GSE168742_human_HF_CM,0
