cell_id,ndufb7_expression,cell_type
SC_92563_33_62,1,N_LA_NCM
SC_92563_33_22,58,N_LA_NCM
SC_92563_34_42,0,N_LA_NCM
SC_92563_33_13,0,N_LA_NCM
SC_92563_35_21,9,N_LA_NCM
SC_92563_35_15,24,N_LA_NCM
SC_92563_35_16,0,N_LA_NCM
SC_92563_35_23,4,N_LA_NCM
SC_92563_35_13,1,N_LA_NCM
SC_92563_35_14,0,N_LA_NCM
SC_92563_36_39,23,N_LA_NCM
SC_92563_36_40,1,N_LA_NCM
SC_92563_37_69,1,N_LA_NCM
SC_92563_37_63,0,N_LA_NCM
SC_92563_37_65,1,N_LA_NCM
SC_92563_37_71,1,N_LA_NCM
SC_92563_36_43,0,N_LA_NCM
SC_92563_32_3,11,N_LA_CM
SC_92563_32_10,2,N_LA_CM
SC_92563_32_54,1,N_LA_CM
SC_92563_32_0,20,N_LA_CM
SC_92563_32_55,0,N_LA_CM
SC_92563_32_1,2,N_LA_CM
SC_92563_33_33,0,N_LA_CM
SC_92563_33_28,0,N_LA_CM
SC_92563_34_58,2,N_LA_CM
SC_92563_33_24,1,N_LA_CM
SC_92563_34_54,0,N_LA_CM
SC_92563_33_25,0,N_LA_CM
SC_92563_34_10,0,N_LA_CM
SC_92563_35_27,1,N_LA_CM
SC_92563_35_28,0,N_LA_CM
SC_92563_34_5,13,N_LA_CM
SC_92563_35_30,0,N_LA_CM
SC_92563_34_8,2,N_LA_CM
SC_92563_34_2,0,N_LA_CM
SC_92563_36_52,2,N_LA_CM
SC_92563_36_54,0,N_LA_CM
SC_92563_36_7,2,N_LA_CM
SC_92563_36_8,3,N_LA_CM
SC_92563_32_33,4,N_LA_CM
SC_92563_33_52,0,N_LA_CM
SC_92563_32_30,5,N_LA_CM
SC_92563_33_54,0,N_LA_CM
SC_92563_32_31,2,N_LA_CM
SC_92563_32_26,3,N_LA_CM
SC_92563_33_9,8,N_LA_CM
SC_92563_33_3,15,N_LA_CM
SC_92563_33_10,8,N_LA_CM
SC_92563_33_5,3,N_LA_CM
SC_92563_33_11,0,N_LA_CM
SC_92563_33_0,2,N_LA_CM
SC_92563_34_35,6,N_LA_CM
SC_92563_33_1,0,N_LA_CM
SC_92563_33_7,9,N_LA_CM
SC_92563_34_26,0,N_LA_CM
SC_92563_35_52,0,N_LA_CM
SC_92563_35_5,5,N_LA_CM
SC_92563_35_50,1,N_LA_CM
SC_92563_35_1,7,N_LA_CM
SC_92563_36_33,2,N_LA_CM
SC_92563_36_24,1,N_LA_CM
SC_92563_37_59,0,N_LA_CM
SC_92563_36_25,1,N_LA_CM
SC_92563_36_26,1,N_LA_CM
SC_92563_37_45,0,N_LA_NCM
SC_92563_38_70,0,N_LA_NCM
SC_92563_37_36,5,N_LA_NCM
