"Gene","Expression"
"COL4A1",0.777587192681532
"SEPW1",0.777301315037164
"NFE2L2",0.776729559748428
"AKT3",0.775014293882218
"ARID2",0.773441966838193
"GAREM1",0.773299028016009
"KIAA0232",0.7715837621498
"CTNND2",0.770583190394511
"SMYD2",0.770011435105775
"TMEM161B-AS1",0.769296740994854
"NUTM2B-AS1",0.767867352773013
"C20orf194",0.766866781017724
"MAP3K5",0.765723270440252
"AGTPBP1",0.765294453973699
"SIK2",0.765151515151515
"THRAP3",0.762864493996569
"SLC25A3",0.762864493996569
"SCN7A",0.762435677530017
"NT5DC1",0.762435677530017
"ZNF438",0.760291595197256
"UBR2",0.759719839908519
"EIF1",0.759576901086335
"PLCB1",0.759148084619783
"NHSL1",0.758862206975415
"FGF14",0.757861635220126
"MIR646HG",0.756432246998285
"ATF7IP",0.756289308176101
"WWP1",0.756146369353917
"PPARGC1B",0.754431103487707
"NID1",0.754145225843339
"PCMTD1",0.754145225843339
"WDR60",0.752287021154946
"HACD1",0.752144082332762
"UBAC2",0.751572327044025
"PCNX",0.749285305889079
"RNF19A",0.749142367066895
"SHPRH",0.748141795311607
"MT-ATP6",0.747427101200686
"NPAS2",0.746426529445397
"MYO9A",0.746283590623213
"MCC",0.746140651801029
"MT-ND3",0.745711835334477
"TRPS1",0.744568324757004
"HNRNPC",0.743138936535163
"LONP2",0.74199542595769
"EDA",0.741566609491138
"AGAP1",0.74128073184677
"BSG",0.739851343624929
"ANO6",0.738993710691824
"FBXO40",0.73885077186964
"VWC2",0.737278444825615
"ADD3",0.737135506003431
"ADPRHL1",0.736706689536878
"SGMS1",0.736563750714694
"HIVEP3",0.735420240137221
"RAB28",0.734991423670669
"ADAMTS9",0.733847913093196
"DSTN",0.733847913093196
"MGAT4C",0.733562035448828
"ADGRD1",0.73327615780446
"ARID5B",0.732704402515723
"MIR1-1HG",0.732704402515723
"EFCAB2",0.731846769582619
"ZNF644",0.731703830760435
"LIMS2",0.73084619782733
"DOCK5",0.73084619782733
"ALPK3",0.730417381360778
"OGDH",0.729416809605489
"INSR",0.7284162378502
"KIDINS220",0.725700400228702
"CAP2",0.725700400228702
"C1orf168",0.724985706117782
"STOX2",0.724271012006861
"RAB3GAP1",0.722555746140652
"ADAM10",0.722412807318468
"PDE10A",0.721126357918811
"HSPB3",0.720983419096627
"ARIH2",0.720554602630074
"MPDZ",0.720268724985706
"RCOR3",0.719982847341338
"CCNY",0.719554030874786
"HADHA",0.719125214408233
"ETV6",0.717124070897656
"CAMKMT",0.716981132075472
"DPH6-AS1",0.716695254431103
"PTEN",0.714408233276158
"NPTN",0.71412235563179
"BMPR2",0.71240708976558
"CDH19",0.71240708976558
"RBMX",0.712264150943396
"R3HDM2",0.712121212121212
"CLCN3",0.711835334476844
"AUH",0.710977701543739
"METTL15",0.710405946255003
"MYCBP2",0.70926243567753
"FBXW11",0.708976558033162
"RB1",0.708118925100057
"UBE3A",0.707975986277873
"PHC3",0.707261292166953
"APBB2",0.70611778158948
"PPP2R5C",0.705831903945112
"TCF25",0.703544882790166
"CADM1",0.703116066323613
"ATP1A2",0.702258433390509
"FOXJ3",0.701686678101772
"SRL",0.701686678101772
"MTR",0.701400800457404
"SQSTM1",0.700400228702115
"PCCA",0.700400228702115
"ABHD18",0.697970268724986
"ITGB1",0.697684391080618
"A2M",0.697541452258433
"HMBOX1",0.697112635791881
"TRAK1",0.696540880503145
"MRPS25",0.696112064036592
"GPBP1",0.694682675814751
"HSDL2",0.694682675814751
"CPEB3",0.693110348770726
"ADAM23",0.692252715837621
"RP11-400K9.4",0.692109777015437
"HSPB1",0.691966838193253
"DENND1B",0.691680960548885
"SNRNP70",0.691252144082333
"DYM",0.690251572327044
"ACSM3",0.688536306460835
"ZNF721",0.687821612349914
"C10orf76",0.687535734705546
"COX5A",0.687535734705546
"ATXN2",0.687249857061178
"DENND1A",0.687106918238994
"ICA1",0.685820468839337
"JAK2",0.685677530017153
"ARHGAP5",0.685391652372784
"RFWD2",0.683390508862207
"CACNA2D3",0.683390508862207
"CTD-2192J16.22",0.682961692395655
"ZNF704",0.682532875929102
"PRPF4B",0.682246998284734
"CNTNAP3B",0.680531732418525
"DIP2B",0.679959977129788
"TMOD1",0.679817038307604
"PYGB",0.679531160663236
"MAT2A",0.679245283018868
"ABCA6",0.678673527730131
"MGEA5",0.678244711263579
"FSD2",0.677958833619211
"PRDM16",0.677387078330475
"BTRC",0.676815323041738
"UACA",0.676672384219554
"C1orf132",0.676243567753002
"UBE2D3",0.676100628930818
"ZNF680",0.676100628930818
"AFF4",0.673956546598056
"NT5C2",0.673956546598056
"RIN2",0.673670668953688
"TBCK",0.673098913664951
"IQCJ-SCHIP1",0.672955974842767
"YAF2",0.672955974842767
"NCEH1",0.672098341909663
"TAX1BP1",0.671526586620926
"PHACTR2",0.670811892510006
"SAMD12",0.670811892510006
"RB1CC1",0.669954259576901
"ADRA1A",0.66852487135506
